"","word","freq"
"355321","in the league",14
"356217","in the way",14
"362143","instead of the",14
"368044","is better than",14
"369489","is hard to",14
"369819","is in a",14
"370120","is just a",14
"371509","is part of",14
"372646","is supposed to",14
"378573","it looks like",14
"383466","its hard to",14
"390945","just a few",14
"393284","just wanted to",14
"409052","let us know",14
"417028","live in a",14
"424318","love to see",14
"445348","might have been",14
"453905","more than years",14
"457961","much as I",14
"465650","my way to",14
"473510","New York Times",14
"482246","not so much",14
"482354","not sure if",14
"488347","of a new",14
"490837","of course I",14
"495723","of my favorites",14
"503813","of you who",14
"511435","on my face",14
"511578","On my way",14
"513161","on the front",14
"516593","one or two",14
"530945","outside of the",14
"532084","over to the",14
"536698","part of it",14
"541179","people in the",14
"550987","please follow me",14
"558638","President Barack Obama",14
"591888","RT if you",14
"597973","salt and pepper",14
"615331","she said I",14
"632918","some sort of",14
"664734","tell you that",14
"671833","that I could",14
"672146","that in the",14
"672249","that is a",14
"686450","the death of",14
"690104","the first place",14
"690127","the first round",14
"694004","the importance of",14
"700183","the next two",14
"704293","the process of",14
"706470","the role of",14
"707824","the second half",14
"714401","the way I",14
"714423","the way of",14
"721535","there are some",14
"727221","thing to do",14
"728352","think it is",14
"728497","think of the",14
"739335","time for the",14
"740306","time to get",14
"743747","to be one",14
"744079","to become a",14
"746551","to do something",14
"747824","to focus on",14
"748269","to get into",14
"750980","to listen to",14
"754948","to say about",14
"755025","to say the",14
"755322","to see them",14
"757338","to the city",14
"757716","to the hospital",14
"758149","to the public",14
"771706","trying to make",14
"775293","two years ago",14
"794567","want them to",14
"795030","wanted to make",14
"814652","what kind of",14
"829995","with a few",14
"834988","with the same",14
"853124","You have to",14
"856835","you would like",14
"724","a beautiful day",13
"1555","a bottle of",13
"5478","a few hours",13
"5590","a few times",13
"13215","a place to",13
"20637","a year old",13
"31023","after the first",13
"36725","all kinds of",13
"37760","all the things",13
"48547","and all the",13
"54241","and had a",13
"54377","and has been",13
"55309","and I are",13
"55447","and I know",13
"58732","and no one",13
"64476","and the rest",13
"64974","and then the",13
"65033","and there is",13
"66594","and we have",13
"67233","and with the",13
"74278","are a few",13
"79715","around the corner",13
"82107","As for the",13
"82509","as I was",13
"83954","as they are",13
"88119","at least a",13
"105130","be the most",13
"106174","BEAT LA BEAT",13
"107233","because of his",13
"112181","being in the",13
"115791","between the two",13
"132382","but I did",13
"163026","come back to",13
"200502","do it all",13
"205023","Dont forget to",13
"206865","down on the",13
"227908","executive director of",13
"238665","few years ago",13
"248438","for a moment",13
"254613","for the future",13
"254843","for the mention",13
"254890","for the new",13
"272804","get ready for",13
"275721","give you a",13
"283320","got to the",13
"297390","has not been",13
"298834","have a good",13
"305442","he said I",13
"306439","he will be",13
"316306","him in the",13
"331416","I did a",13
"332658","I got my",13
"333776","I just saw",13
"334389","I love how",13
"334548","I made a",13
"334977","I needed to",13
"335033","I never thought",13
"335513","I really like",13
"337548","I was so",13
"338049","I wont be",13
"341786","if you were",13
"354628","in the book",13
"355111","in the game",13
"356147","in the UK",13
"367366","is also a",13
"367913","is based on",13
"372342","is so much",13
"373184","is the one",13
"376964","it for a",13
"377318","it has been",13
"378154","it is that",13
"379102","it or not",13
"380055","it takes to",13
"381371","It will be",13
"381593","it would have",13
"383414","its gonna be",13
"400072","LA BEAT LA",13
"420916","looked at the",13
"421402","looks like a",13
"429573","makes me feel",13
"438086","me if I",13
"438301","me know if",13
"445193","might as well",13
"453806","more than just",13
"453879","more than the",13
"458521","much more than",13
"458568","much of a",13
"488917","of all time",13
"496292","of one of",13
"499693","of the country",13
"501247","of the story",13
"501385","of the top",13
"501691","of their own",13
"513450","On the other",13
"513482","on the phone",13
"513740","on the th",13
"517937","only a few",13
"518988","only way to",13
"529549","out on a",13
"574853","really need to",13
"580878","reminds me of",13
"583974","responsible for the",13
"596752","said that the",13
"601106","say that I",13
"607697","see what I",13
"615648","she was a",13
"629190","so much to",13
"639574","spokesman for the",13
"645631","STEELERS STEELERS STEELERS",13
"656305","sure to check",13
"660964","talk to me",13
"660985","talk to you",13
"668713","Thanks for your",13
"668987","thanks to the",13
"671359","that has been",13
"671850","that I dont",13
"672782","that kind of",13
"674686","that she was",13
"676244","that was a",13
"676245","That was a",13
"676379","that was the",13
"680588","the benefit of",13
"683183","the center of",13
"683857","the city of",13
"695607","the last few",13
"698062","the midst of",13
"710243","the story of",13
"711684","the things that",13
"713080","the type of",13
"721782","there have been",13
"730914","This is an",13
"740765","times a day",13
"743342","to be at",13
"744104","to become the",13
"746550","to do some",13
"747673","to find the",13
"747849","to follow me",13
"748400","to get your",13
"748830","to hang out",13
"750599","to know that",13
"751002","to live in",13
"752681","to one of",13
"754620","to return to",13
"755243","to see him",13
"757973","to the next",13
"758334","to the state",13
"758876","to those who",13
"772815","turned out to",13
"780527","up and down",13
"794697","want to know",13
"796638","was at the",13
"796812","was born in",13
"797950","was in a",13
"803614","we all know",13
"805033","We have to",13
"806189","We want to",13
"806363","we will be",13
"806364","We will be",13
"813779","What a great",13
"814331","what I do",13
"815103","what they are",13
"815148","what they want",13
"815423","what you are",13
"816700","When I was",13
"818087","Where are you",13
"822259","who has been",13
"823574","who you are",13
"825515","will always be",13
"843048","would not be",13
"850791","you are not",13
"851989","you do it",13
"852002","you do not",13
"852673","you get to",13
"5186","a fan of",12
"5509","a few months",12
"7106","a good way",12
"26176","across the country",12
"37006","all of this",12
"45828","an effort to",12
"48546","and all that",12
"49191","and at the",12
"53338","and for the",12
"54798","and her husband",12
"55433","and I hope",12
"55585","and I were",12
"63577","and that I",12
"65191","and they were",12
"65272","and this is",12
"77482","are the same",12
"82404","as I can",12
"82412","as I did",12
"84377","as well The",12
"89576","at the bottom",12
"96627","back on the",12
"105063","be the best",12
"132725","but in the",12
"134854","but you can",12
"141315","can be found",12
"159707","close to the",12
"200500","do it again",12
"200796","do not know",12
"201676","Do you know",12
"228627","expected to be",12
"231424","fact that the",12
"254280","for the best",12
"254866","for the most",12
"272681","get on the",12
"279215","going on in",12
"291733","had to be",12
"291756","had to do",12
"291772","had to go",12
"293070","Hall of Fame",12
"301021","have not been",12
"302151","have to wait",12
"320526","hit me up",12
"322015","home from work",12
"323765","Hope you had",12
"326938","how much I",12
"330935","I cant get",12
"331219","I could see",12
"332007","I ended up",12
"332689","I got the",12
"333154","I have had",12
"333282","I have the",12
"333822","I just wanted",12
"334755","I might be",12
"335521","I really need",12
"335779","I saw a",12
"336693","I think they",12
"336820","I told him",12
"337208","I want you",12
"337268","I was at",12
"337878","I will never",12
"338031","I wonder what",12
"347256","in and out",12
"350111","in high school",12
